size,AVL_RAND_INSERT,AVL_RAND_PRESENT,AVL_RAND_NON_PRESENT,AVL_ORD_INSERT,AVL_ORD_PRESENT,AVL_ORD_NON,AVL_SLIGH_INSERT,AVL_SL_PRESENT,AVL_SL_NON,BST_RAND_INSERT,BST_RAND_PRESENT,BST_RAND_NON_PRESENT,BST_ORD_INSERT,BST_ORD_PRESENT,BST_ORD_NON,BST_SLIGH_INSERT,BST_SL_PRESENT,BST_SL_NON
10,7210,170,120,5710,110,80,4860,140,90,1800,160,100,1790,140,110,1490,150,100
113,556030,570,200,474470,200,110,517400,240,120,30190,240,270,50160,400,350,28750,270,160
216,1939610,220,190,1647860,250,120,1951370,810,100,49100,220,210,124790,600,490,48920,180,230
319,3562210,220,130,3306750,220,110,3425740,200,90,67800,180,210,238600,700,650,65880,180,180
422,5812240,250,140,5498410,220,110,5568910,220,100,115690,250,210,369060,930,800,95790,240,150
525,8902140,310,150,8296910,230,100,9032050,240,90,119380,200,230,572070,890,1050,113990,190,220
628,12736900,330,170,12259010,230,110,13262980,430,100,143570,250,290,796400,1400,1200,177620,260,310
731,17052380,240,180,16608490,240,110,17822790,260,110,166710,220,270,1089430,1480,1460,213660,310,320
834,22006770,330,130,21244970,230,120,22077380,270,110,198900,240,340,1380110,1460,1670,196180,230,170
937,28728300,280,160,26350140,230,110,27743920,290,120,239400,240,320,1739040,2300,2350,231220,260,280
1040,35423610,290,180,32264890,250,110,36403390,240,120,251060,240,310,2179610,2480,2060,348460,360,390
1143,43746710,310,150,39428630,210,100,42997330,280,130,271510,270,350,2553620,1830,2380,327970,290,240
1246,51765910,290,180,47842850,200,120,51851060,280,130,295690,210,290,3005370,1820,2740,377970,250,470
1349,62984360,460,180,55949410,250,140,65961050,270,130,335630,260,290,3780720,2840,3270,636860,490,520
1452,82210630,330,190,81786390,840,120,78353160,310,120,339130,240,310,3998760,2440,2820,459030,340,560
1555,93393450,390,220,95318840,230,130,89374190,290,130,381450,250,350,4751310,3840,3270,514100,380,680
1658,97045670,350,200,84845910,250,130,99786940,360,170,922580,390,1090,7031300,3910,3660,703990,350,520
1761,128869810,390,170,109358210,260,120,117340430,310,110,446620,260,340,5955430,4140,3620,620630,330,350
1864,136548730,360,210,116032800,260,120,124745310,300,140,459430,280,360,6644040,3290,3630,619410,340,380
1967,141107040,350,180,115800490,230,120,139525960,310,130,512150,280,320,7273890,4410,4080,628650,290,390
2070,154526380,380,210,141534290,260,120,156181630,360,190,534460,300,370,8250100,5880,4260,902850,560,710
2173,176709880,360,170,146011120,330,130,206357680,420,130,690780,370,750,10985770,5210,6270,917320,330,910
2276,202885510,290,190,161029290,330,120,186504040,420,110,621540,910,340,9862600,5240,4430,767860,480,700
2379,214747670,360,180,179309000,280,120,203737360,360,130,606910,250,410,10653440,5110,4630,800390,290,570
2482,237793410,330,170,190924640,230,100,221111790,340,120,680680,350,360,11742120,4670,5920,904800,340,660
2585,426499090,530,330,293300320,280,130,273346390,350,130,649750,280,350,12542260,5280,5670,820210,310,380
2688,310027320,420,180,247113240,230,130,281518810,370,130,716720,290,360,15602810,5220,6150,1354460,470,560
2791,340586620,340,210,243679280,280,140,283918880,340,130,759880,280,390,14790450,5670,5360,1081650,440,350
2894,343961200,350,190,358496970,270,130,383310880,340,130,810350,280,360,16656420,4750,5900,1234540,450,660
2997,406612680,470,300,293922460,320,140,349373700,370,120,778690,270,400,17161860,7580,5750,1414450,440,630
3100,464830120,450,240,561166900,360,160,610974720,420,240,2045440,340,1220,21797700,9150,7010,1244470,610,530
3203,881311530,400,190,447763400,240,130,417633200,490,250,939510,300,370,20117560,6940,6820,1763550,480,1030
3306,503092790,380,200,345051180,280,140,450978850,420,160,989740,420,500,21836760,6970,6330,1310110,420,680
3409,545957950,400,200,401254290,260,130,540039660,360,140,948170,290,460,22803200,11620,8990,2010660,530,970
3512,593195350,420,230,450830270,260,120,571117920,1220,130,966730,320,380,23151030,7890,6750,1300130,350,670
3615,606251010,390,220,396568720,280,120,509832660,400,140,934170,1170,410,24483340,6660,6910,1419630,310,730
3718,568993850,370,180,455837060,260,130,528000780,330,120,961390,240,380,25050700,4960,7130,1324990,330,600
3821,597513020,310,160,434822790,250,120,557647360,360,140,1062970,300,390,28836590,8660,7330,1460610,350,670
3924,647882340,380,210,455071490,250,150,582814690,320,120,1081860,260,410,28087460,6170,7510,1511480,310,480
4027,659672930,380,180,480659570,250,120,638719990,300,120,1094980,310,460,29500200,8930,7700,1584220,340,1070
4130,718419320,330,210,523075970,280,130,670021450,330,150,1128880,310,410,32280950,10790,7900,1645210,420,270
4233,746948870,430,200,521845420,250,120,717175510,960,140,1179470,330,410,32918110,8500,8110,1766980,310,1020
4336,781405090,350,200,553524940,880,150,725558820,380,140,1192180,300,410,34245440,7640,8300,1630730,280,500
4439,814754220,400,250,646548720,290,150,798211680,380,130,1336400,300,440,35698880,8850,8460,1694810,260,580
4542,862128320,430,210,643672400,270,120,784250320,360,140,1560800,320,620,37498480,6710,8720,1740680,480,470
4645,899773160,360,200,652332750,250,130,872663330,930,130,1347170,250,450,39129120,10490,10690,1952590,360,350
4748,996721650,370,200,694059240,280,130,886966430,340,120,1426670,340,500,41054410,8320,9690,2196830,320,910
4851,980974850,380,210,714889690,270,130,935371190,380,130,1476490,310,470,42609610,11190,9300,1806880,410,540
4954,1048943090,340,210,750842870,270,150,1026110940,400,130,2172260,400,970,50817570,12040,10130,1977110,530,350
5057,1169976370,340,220,776718850,320,130,1014729920,360,140,1544540,290,450,46557730,9520,10330,2177140,1260,870
5160,1180118200,380,200,810762390,270,140,1096889900,340,130,1608380,310,430,48798150,12050,9920,2442190,410,410
5263,1201130790,450,210,848531320,290,130,1125083710,380,140,1674110,320,620,50459860,8580,10100,2251620,400,900
5366,1225483630,420,240,890345520,350,130,1198478670,370,140,1749070,320,500,52685800,11150,10290,2566850,310,1250
5469,1318515110,390,210,918506150,330,130,1188695290,370,140,1786020,310,560,55013180,11370,10520,2455320,480,420
